C:\Driving\IMG\center_2020_09_05_16_40_17_113.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_113.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_113.jpg, 0, 0, 0, 7.735753E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_214.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_214.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_214.jpg, 0, 0, 0, 7.74912E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_320.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_320.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_320.jpg, 0, 0, 0, 7.742762E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_425.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_425.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_425.jpg, 0, 0, 0, 7.73906E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_531.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_531.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_531.jpg, 0, 0, 0, 7.743143E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_636.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_636.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_636.jpg, 0, 0, 0, 7.823767E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_740.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_740.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_740.jpg, 0, 0, 0, 7.721181E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_841.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_841.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_841.jpg, 0, 0, 0, 7.73405E-05
C:\Driving\IMG\center_2020_09_05_16_40_17_945.jpg, C:\Driving\IMG\left_2020_09_05_16_40_17_945.jpg, C:\Driving\IMG\right_2020_09_05_16_40_17_945.jpg, 0, 0, 0, 7.735988E-05
C:\Driving\IMG\center_2020_09_05_16_40_18_046.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_046.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_046.jpg, 0, 0, 0, 7.736062E-05
C:\Driving\IMG\center_2020_09_05_16_40_18_147.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_147.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_147.jpg, 0, 0, 0, 7.733512E-05
C:\Driving\IMG\center_2020_09_05_16_40_18_250.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_250.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_250.jpg, 0, 0.2808327, 0, 0.2606238
C:\Driving\IMG\center_2020_09_05_16_40_18_356.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_356.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_356.jpg, 0, 0.5709096, 0, 0.8934417
C:\Driving\IMG\center_2020_09_05_16_40_18_461.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_461.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_461.jpg, 0, 0.9362835, 0, 2.07981
C:\Driving\IMG\center_2020_09_05_16_40_18_568.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_568.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_568.jpg, 0, 1, 0, 3.257062
C:\Driving\IMG\center_2020_09_05_16_40_18_671.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_671.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_671.jpg, 0, 1, 0, 4.431368
C:\Driving\IMG\center_2020_09_05_16_40_18_771.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_771.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_771.jpg, 0, 1, 0, 5.592836
C:\Driving\IMG\center_2020_09_05_16_40_18_875.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_875.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_875.jpg, 0, 1, 0, 6.743158
C:\Driving\IMG\center_2020_09_05_16_40_18_976.jpg, C:\Driving\IMG\left_2020_09_05_16_40_18_976.jpg, C:\Driving\IMG\right_2020_09_05_16_40_18_976.jpg, 0, 1, 0, 7.882321
C:\Driving\IMG\center_2020_09_05_16_40_19_083.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_083.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_083.jpg, 0, 1, 0, 9.234467
C:\Driving\IMG\center_2020_09_05_16_40_19_185.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_185.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_185.jpg, 0, 1, 0, 10.34936
C:\Driving\IMG\center_2020_09_05_16_40_19_287.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_287.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_287.jpg, 0, 1, 0, 11.55221
C:\Driving\IMG\center_2020_09_05_16_40_19_390.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_390.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_390.jpg, -0.2882889, 1, 0, 12.40351
C:\Driving\IMG\center_2020_09_05_16_40_19_490.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_490.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_490.jpg, -0.03851043, 1, 0, 13.55922
C:\Driving\IMG\center_2020_09_05_16_40_19_595.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_595.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_595.jpg, 0, 1, 0, 14.68224
C:\Driving\IMG\center_2020_09_05_16_40_19_700.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_700.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_700.jpg, 0, 1, 0, 15.99624
C:\Driving\IMG\center_2020_09_05_16_40_19_806.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_806.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_806.jpg, 0, 1, 0, 16.90013
C:\Driving\IMG\center_2020_09_05_16_40_19_907.jpg, C:\Driving\IMG\left_2020_09_05_16_40_19_907.jpg, C:\Driving\IMG\right_2020_09_05_16_40_19_907.jpg, 0, 1, 0, 18.10593
C:\Driving\IMG\center_2020_09_05_16_40_20_013.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_013.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_013.jpg, -0.2953095, 1, 0, 18.94043
C:\Driving\IMG\center_2020_09_05_16_40_20_114.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_114.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_114.jpg, -0.5793192, 1, 0, 19.84872
C:\Driving\IMG\center_2020_09_05_16_40_20_217.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_217.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_217.jpg, -0.3127286, 1, 0, 21.05059
C:\Driving\IMG\center_2020_09_05_16_40_20_319.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_319.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_319.jpg, -0.01076635, 1, 0, 22.00002
C:\Driving\IMG\center_2020_09_05_16_40_20_421.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_421.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_421.jpg, 0, 1, 0, 22.99448
C:\Driving\IMG\center_2020_09_05_16_40_20_522.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_522.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_522.jpg, 0, 1, 0, 23.96273
C:\Driving\IMG\center_2020_09_05_16_40_20_625.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_625.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_625.jpg, 0, 1, 0, 24.93226
C:\Driving\IMG\center_2020_09_05_16_40_20_729.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_729.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_729.jpg, 0, 1, 0, 25.88935
C:\Driving\IMG\center_2020_09_05_16_40_20_829.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_829.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_829.jpg, 0, 1, 0, 26.83732
C:\Driving\IMG\center_2020_09_05_16_40_20_934.jpg, C:\Driving\IMG\left_2020_09_05_16_40_20_934.jpg, C:\Driving\IMG\right_2020_09_05_16_40_20_934.jpg, 0, 1, 0, 27.77564
