center_camera,left_camera,right_camera,steering,throttle,reverse,speed
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_113.jpg,./data/IMG/left_2020_09_05_16_40_17_113.jpg,./data/IMG/right_2020_09_05_16_40_17_113.jpg,0.0,0.0,0,7.735753000000001e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_214.jpg,./data/IMG/left_2020_09_05_16_40_17_214.jpg,./data/IMG/right_2020_09_05_16_40_17_214.jpg,0.0,0.0,0,7.74912e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_320.jpg,./data/IMG/left_2020_09_05_16_40_17_320.jpg,./data/IMG/right_2020_09_05_16_40_17_320.jpg,0.0,0.0,0,7.742761999999999e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_425.jpg,./data/IMG/left_2020_09_05_16_40_17_425.jpg,./data/IMG/right_2020_09_05_16_40_17_425.jpg,0.0,0.0,0,7.73906e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_531.jpg,./data/IMG/left_2020_09_05_16_40_17_531.jpg,./data/IMG/right_2020_09_05_16_40_17_531.jpg,0.0,0.0,0,7.743143e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_636.jpg,./data/IMG/left_2020_09_05_16_40_17_636.jpg,./data/IMG/right_2020_09_05_16_40_17_636.jpg,0.0,0.0,0,7.823767e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_740.jpg,./data/IMG/left_2020_09_05_16_40_17_740.jpg,./data/IMG/right_2020_09_05_16_40_17_740.jpg,0.0,0.0,0,7.721180999999999e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_841.jpg,./data/IMG/left_2020_09_05_16_40_17_841.jpg,./data/IMG/right_2020_09_05_16_40_17_841.jpg,0.0,0.0,0,7.73405e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_17_945.jpg,./data/IMG/left_2020_09_05_16_40_17_945.jpg,./data/IMG/right_2020_09_05_16_40_17_945.jpg,0.0,0.0,0,7.735988e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_18_046.jpg,./data/IMG/left_2020_09_05_16_40_18_046.jpg,./data/IMG/right_2020_09_05_16_40_18_046.jpg,0.0,0.0,0,7.736062e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_18_147.jpg,./data/IMG/left_2020_09_05_16_40_18_147.jpg,./data/IMG/right_2020_09_05_16_40_18_147.jpg,0.0,0.0,0,7.733512e-05
./data/IMG/./data/IMG/center_2020_09_05_16_40_18_250.jpg,./data/IMG/left_2020_09_05_16_40_18_250.jpg,./data/IMG/right_2020_09_05_16_40_18_250.jpg,0.0,0.28083270000000005,0,0.26062379999999996
./data/IMG/./data/IMG/center_2020_09_05_16_40_18_356.jpg,./data/IMG/left_2020_09_05_16_40_18_356.jpg,./data/IMG/right_2020_09_05_16_40_18_356.jpg,0.0,0.5709095999999999,0,0.8934416999999999
./data/IMG/./data/IMG/center_2020_09_05_16_40_18_461.jpg,./data/IMG/left_2020_09_05_16_40_18_461.jpg,./data/IMG/right_2020_09_05_16_40_18_461.jpg,0.0,0.9362834999999999,0,2.0798099999999997
